question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,subject,chapter,difficulty
CB7-00086,What is 43 + 49?,94,91,92,93,C,43 + 49 = 92,Science,Motion and Time,Easy
CB7-00087,What is 23 + 47?,71,72,69,70,D,23 + 47 = 70,English,Tenses,Hard
CB7-00088,What is 17 + 1?,19,20,17,18,D,17 + 1 = 18,Science,Nutrition in Animals,Medium
CB7-00089,What is 26 + 20?,45,48,46,47,C,26 + 20 = 46,Science,Light,Easy
CB7-00090,What is 25 + 37?,64,61,63,62,D,25 + 37 = 62,English,Synonyms Antonyms,Hard
CB7-00091,What is 6 + 2?,7,8,9,10,B,6 + 2 = 8,Science,Motion and Time,Easy
CB7-00092,What is 4 + 21?,24,26,27,25,D,4 + 21 = 25,Maths,Integers,Hard
CB7-00093,What is 18 + 11?,28,29,31,30,B,18 + 11 = 29,English,Comprehension,Easy
CB7-00094,What is 31 + 5?,35,37,38,36,D,31 + 5 = 36,SST,Government,Hard
CB7-00095,What is 43 + 49?,92,94,93,91,A,43 + 49 = 92,SST,Media,Medium
CB7-00096,What is 11 + 12?,23,25,22,24,A,11 + 12 = 23,English,Parts of Speech,Hard
CB7-00097,What is 17 + 23?,42,39,41,40,D,17 + 23 = 40,Science,Acids Bases and Salts,Medium
CB7-00098,What is 36 + 30?,65,67,66,68,C,36 + 30 = 66,Maths,Comparing Quantities,Medium
CB7-00099,What is 43 + 5?,48,47,49,50,A,43 + 5 = 48,Maths,Integers,Hard
CB7-00100,What is 35 + 26?,62,63,61,60,C,35 + 26 = 61,Science,Reproduction in Plants,Easy
CB7-00101,What is 35 + 8?,44,43,45,42,B,35 + 8 = 43,SST,Equality,Easy
CB7-00102,What is 1 + 15?,15,17,18,16,D,1 + 15 = 16,English,Comprehension,Hard
CB7-00103,What is 25 + 49?,73,75,74,76,C,25 + 49 = 74,SST,Government,Easy
CB7-00104,What is 4 + 42?,46,47,45,48,A,4 + 42 = 46,Maths,Integers,Hard
CB7-00105,What is 48 + 9?,56,58,59,57,D,48 + 9 = 57,Science,Weather Climate,Medium
CB7-00106,What is 17 + 34?,51,50,52,53,A,17 + 34 = 51,SST,Government,Medium
CB7-00107,What is 3 + 11?,16,13,15,14,D,3 + 11 = 14,Maths,Comparing Quantities,Medium
CB7-00108,What is 20 + 26?,46,45,47,48,A,20 + 26 = 46,SST,Delhi Sultanate,Medium
CB7-00109,What is 36 + 36?,73,71,74,72,D,36 + 36 = 72,SST,Markets,Medium
CB7-00110,What is 6 + 21?,26,28,27,29,C,6 + 21 = 27,Science,Physical and Chemical Changes,Medium
CB7-00111,What is 22 + 12?,35,33,34,36,C,22 + 12 = 34,Maths,Fractions and Decimals,Hard
CB7-00112,What is 13 + 7?,20,21,19,22,A,13 + 7 = 20,English,Fill in the Blanks,Medium
CB7-00113,What is 35 + 11?,45,47,46,48,C,35 + 11 = 46,SST,Mughal Empire,Easy
CB7-00114,What is 48 + 44?,92,94,91,93,A,48 + 44 = 92,Maths,Fractions and Decimals,Easy
CB7-00115,What is 49 + 37?,87,86,85,88,B,49 + 37 = 86,SST,Environment,Hard
CB7-00116,What is 27 + 33?,61,59,62,60,D,27 + 33 = 60,SST,State Government,Easy
CB7-00117,What is 22 + 22?,43,45,46,44,D,22 + 22 = 44,English,Grammar,Medium
CB7-00118,What is 17 + 45?,61,64,63,62,D,17 + 45 = 62,SST,Medieval India,Hard
CB7-00119,What is 48 + 42?,90,91,92,89,A,48 + 42 = 90,SST,Medieval India,Hard
CB7-00120,What is 1 + 50?,50,51,52,53,B,1 + 50 = 51,Science,Light,Hard
CB7-00121,What is 16 + 29?,45,44,46,47,A,16 + 29 = 45,English,Fill in the Blanks,Easy
CB7-00122,What is 35 + 44?,78,79,81,80,B,35 + 44 = 79,English,Vocabulary,Easy
CB7-00123,What is 25 + 9?,33,34,35,36,B,25 + 9 = 34,SST,Media,Hard
CB7-00124,What is 21 + 49?,69,71,72,70,D,21 + 49 = 70,SST,Delhi Sultanate,Easy
CB7-00125,What is 3 + 21?,26,25,24,23,C,3 + 21 = 24,Maths,Perimeter and Area,Hard
CB7-00126,What is 1 + 48?,50,51,49,48,C,1 + 48 = 49,Maths,Algebra,Medium
CB7-00127,What is 28 + 45?,72,73,75,74,B,28 + 45 = 73,Maths,Triangle and Properties,Hard
CB7-00128,What is 35 + 5?,39,41,42,40,D,35 + 5 = 40,Science,Fibre to Fabric,Easy
CB7-00129,What is 10 + 20?,29,32,31,30,D,10 + 20 = 30,English,Vocabulary,Medium
CB7-00130,What is 4 + 28?,34,32,31,33,B,4 + 28 = 32,English,Sentence Correction,Hard
CB7-00131,What is 24 + 40?,64,63,66,65,A,24 + 40 = 64,Science,Respiration,Medium
CB7-00132,What is 23 + 46?,71,70,68,69,D,23 + 46 = 69,Science,Heat,Medium
CB7-00133,What is 33 + 4?,37,39,38,36,A,33 + 4 = 37,English,Tenses,Medium
CB7-00134,What is 21 + 25?,48,45,47,46,D,21 + 25 = 46,Maths,Simple Equations,Medium
CB7-00135,What is 35 + 10?,44,45,46,47,B,35 + 10 = 45,English,Sentence Correction,Easy
CB7-00136,What is 11 + 41?,52,51,54,53,A,11 + 41 = 52,Maths,Integers,Medium
CB7-00137,What is 19 + 3?,22,23,24,21,A,19 + 3 = 22,Science,Reproduction in Plants,Medium
CB7-00138,What is 50 + 18?,69,68,67,70,B,50 + 18 = 68,Maths,Perimeter and Area,Easy
CB7-00139,What is 41 + 9?,52,50,49,51,B,41 + 9 = 50,English,Comprehension,Medium
CB7-00140,What is 12 + 21?,33,32,35,34,A,12 + 21 = 33,SST,Inside our Earth,Easy
CB7-00141,What is 29 + 50?,80,79,78,81,B,29 + 50 = 79,SST,Inside our Earth,Easy
CB7-00142,What is 5 + 19?,26,23,24,25,C,5 + 19 = 24,SST,Mughal Empire,Easy
CB7-00143,What is 22 + 37?,60,58,59,61,C,22 + 37 = 59,English,Fill in the Blanks,Hard
CB7-00144,What is 16 + 29?,47,46,45,44,C,16 + 29 = 45,SST,Media,Medium
CB7-00145,What is 24 + 20?,44,45,46,43,A,24 + 20 = 44,English,Parts of Speech,Medium
CB7-00146,What is 21 + 15?,36,38,35,37,A,21 + 15 = 36,English,Vocabulary,Medium
CB7-00147,What is 16 + 33?,50,51,49,48,C,16 + 33 = 49,Science,Heat,Medium
CB7-00148,What is 47 + 46?,95,94,93,92,C,47 + 46 = 93,SST,Air and Water,Hard
CB7-00149,What is 19 + 7?,27,28,26,25,C,19 + 7 = 26,English,Sentence Correction,Medium
CB7-00150,What is 30 + 24?,55,54,56,53,B,30 + 24 = 54,Science,Motion and Time,Easy
CB7-00151,What is 3 + 20?,24,25,23,22,C,3 + 20 = 23,English,Parts of Speech,Easy
CB7-00152,What is 46 + 42?,88,90,87,89,A,46 + 42 = 88,English,Fill in the Blanks,Hard
CB7-00153,What is 8 + 45?,54,52,53,55,C,8 + 45 = 53,English,Parts of Speech,Hard
CB7-00154,What is 5 + 44?,51,49,50,48,B,5 + 44 = 49,SST,Delhi Sultanate,Medium
CB7-00155,What is 42 + 6?,47,50,48,49,C,42 + 6 = 48,English,Comprehension,Medium
CB7-00156,What is 9 + 35?,46,45,44,43,C,9 + 35 = 44,English,Sentence Correction,Hard
CB7-00157,What is 49 + 2?,53,50,51,52,C,49 + 2 = 51,Maths,Integers,Medium
CB7-00158,What is 44 + 32?,75,78,77,76,D,44 + 32 = 76,Science,Nutrition in Plants,Medium
CB7-00159,What is 6 + 16?,21,23,22,24,C,6 + 16 = 22,SST,Air and Water,Hard
CB7-00160,What is 19 + 16?,37,34,35,36,C,19 + 16 = 35,SST,Delhi Sultanate,Medium
CB7-00161,What is 14 + 24?,40,38,37,39,B,14 + 24 = 38,Science,Light,Hard
CB7-00162,What is 9 + 26?,37,36,34,35,D,9 + 26 = 35,English,Tenses,Hard
CB7-00163,What is 38 + 25?,64,65,62,63,D,38 + 25 = 63,English,Vocabulary,Hard
CB7-00164,What is 42 + 10?,53,54,52,51,C,42 + 10 = 52,SST,Markets,Hard
CB7-00165,What is 34 + 13?,47,49,48,46,A,34 + 13 = 47,SST,Delhi Sultanate,Hard
CB7-00166,What is 49 + 8?,58,57,56,59,B,49 + 8 = 57,SST,Equality,Easy
CB7-00167,What is 11 + 22?,32,35,33,34,C,11 + 22 = 33,Science,Nutrition in Animals,Hard
CB7-00168,What is 30 + 12?,41,42,44,43,B,30 + 12 = 42,Science,Acids Bases and Salts,Hard
CB7-00169,What is 24 + 18?,42,43,44,41,A,24 + 18 = 42,English,Tenses,Hard
CB7-00170,What is 4 + 32?,38,35,37,36,D,4 + 32 = 36,Maths,Algebra,Easy
CB7-00171,What is 2 + 4?,6,7,5,8,A,2 + 4 = 6,English,Parts of Speech,Medium
CB7-00172,What is 13 + 15?,27,30,29,28,D,13 + 15 = 28,Science,Electric Current,Medium
CB7-00173,What is 41 + 33?,74,76,73,75,A,41 + 33 = 74,English,Tenses,Medium
CB7-00174,What is 35 + 6?,41,42,40,43,A,35 + 6 = 41,Science,Reproduction in Plants,Easy
CB7-00175,What is 8 + 10?,17,18,20,19,B,8 + 10 = 18,English,Synonyms Antonyms,Easy
CB7-00176,What is 42 + 43?,87,85,84,86,B,42 + 43 = 85,Maths,Comparing Quantities,Medium
CB7-00177,What is 24 + 26?,49,50,51,52,B,24 + 26 = 50,Science,Motion and Time,Easy
CB7-00178,What is 47 + 20?,68,69,66,67,D,47 + 20 = 67,SST,Media,Hard
CB7-00179,What is 8 + 45?,53,55,54,52,A,8 + 45 = 53,Science,Physical and Chemical Changes,Easy
CB7-00180,What is 45 + 40?,87,85,84,86,B,45 + 40 = 85,Maths,Rational Numbers,Hard
CB7-00181,What is 5 + 13?,17,19,18,20,C,5 + 13 = 18,Science,Fibre to Fabric,Medium
CB7-00182,What is 2 + 24?,27,25,28,26,D,2 + 24 = 26,SST,Delhi Sultanate,Easy
CB7-00183,What is 11 + 37?,49,47,48,50,C,11 + 37 = 48,SST,Markets,Medium
CB7-00184,What is 23 + 41?,66,63,64,65,C,23 + 41 = 64,English,Synonyms Antonyms,Hard
CB7-00185,What is 3 + 23?,26,28,25,27,A,3 + 23 = 26,English,Comprehension,Easy
CB7-00186,What is 15 + 10?,27,26,24,25,D,15 + 10 = 25,English,Tenses,Hard
CB7-00187,What is 3 + 32?,35,34,36,37,A,3 + 32 = 35,English,Vocabulary,Easy
CB7-00188,What is 19 + 21?,42,39,40,41,C,19 + 21 = 40,Science,Electric Current,Hard
CB7-00189,What is 43 + 13?,56,55,58,57,A,43 + 13 = 56,English,Fill in the Blanks,Hard
CB7-00190,What is 8 + 36?,43,46,44,45,C,8 + 36 = 44,Maths,Simple Equations,Hard
CB7-00191,What is 18 + 38?,57,58,55,56,D,18 + 38 = 56,SST,Delhi Sultanate,Hard
CB7-00192,What is 34 + 37?,71,72,70,73,A,34 + 37 = 71,Science,Weather Climate,Easy
CB7-00193,What is 23 + 32?,56,55,57,54,B,23 + 32 = 55,SST,State Government,Easy
CB7-00194,What is 40 + 31?,72,70,73,71,D,40 + 31 = 71,SST,State Government,Hard
CB7-00195,What is 49 + 6?,54,56,57,55,D,49 + 6 = 55,English,Tenses,Hard
CB7-00196,What is 26 + 50?,78,77,75,76,D,26 + 50 = 76,English,Fill in the Blanks,Medium
CB7-00197,What is 16 + 17?,33,34,32,35,A,16 + 17 = 33,English,Grammar,Easy
CB7-00198,What is 1 + 49?,51,50,49,52,B,1 + 49 = 50,English,Tenses,Easy
CB7-00199,What is 33 + 22?,56,54,55,57,C,33 + 22 = 55,SST,Government,Hard
CB7-00200,What is 3 + 5?,7,9,8,10,C,3 + 5 = 8,Science,Fibre to Fabric,Medium
CB7-00201,What is 50 + 10?,59,62,61,60,D,50 + 10 = 60,Maths,Data Handling,Easy
CB7-00202,What is 16 + 37?,52,55,53,54,C,16 + 37 = 53,Maths,Data Handling,Hard
CB7-00203,What is 30 + 1?,30,31,33,32,B,30 + 1 = 31,English,Parts of Speech,Medium
CB7-00204,What is 36 + 1?,38,36,39,37,D,36 + 1 = 37,Science,Motion and Time,Easy
CB7-00205,What is 27 + 39?,67,66,68,65,B,27 + 39 = 66,Science,Motion and Time,Medium
CB7-00206,What is 37 + 49?,86,88,87,85,A,37 + 49 = 86,Maths,Simple Equations,Medium
CB7-00207,What is 5 + 41?,45,47,46,48,C,5 + 41 = 46,Maths,Lines and Angles,Medium
CB7-00208,What is 23 + 7?,32,29,31,30,D,23 + 7 = 30,Maths,Comparing Quantities,Hard
CB7-00209,What is 16 + 35?,50,52,53,51,D,16 + 35 = 51,Science,Acids Bases and Salts,Medium
CB7-00210,What is 38 + 19?,56,59,58,57,D,38 + 19 = 57,Maths,Triangle and Properties,Medium
CB7-00211,What is 29 + 49?,77,78,80,79,B,29 + 49 = 78,Science,Fibre to Fabric,Medium
CB7-00212,What is 36 + 19?,55,54,57,56,A,36 + 19 = 55,SST,Mughal Empire,Medium
CB7-00213,What is 19 + 49?,68,70,69,67,A,19 + 49 = 68,Science,Soil,Medium
CB7-00214,What is 11 + 11?,22,24,23,21,A,11 + 11 = 22,Maths,Comparing Quantities,Hard
CB7-00215,What is 39 + 20?,58,60,59,61,C,39 + 20 = 59,Science,Soil,Hard
CB7-00216,What is 13 + 12?,27,24,26,25,D,13 + 12 = 25,Maths,Triangle and Properties,Hard
CB7-00217,What is 37 + 15?,51,53,52,54,C,37 + 15 = 52,Maths,Lines and Angles,Easy
CB7-00218,What is 13 + 14?,29,28,26,27,D,13 + 14 = 27,Science,Weather Climate,Medium
CB7-00219,What is 17 + 15?,31,34,32,33,C,17 + 15 = 32,SST,Mughal Empire,Easy
CB7-00220,What is 25 + 6?,32,30,31,33,C,25 + 6 = 31,Science,Nutrition in Animals,Hard
CB7-00221,What is 41 + 10?,53,50,51,52,C,41 + 10 = 51,Science,Reproduction in Plants,Hard
CB7-00222,What is 48 + 7?,55,54,56,57,A,48 + 7 = 55,Maths,Comparing Quantities,Easy
CB7-00223,What is 13 + 1?,14,16,15,13,A,13 + 1 = 14,Maths,Triangle and Properties,Hard
CB7-00224,What is 6 + 45?,52,53,51,50,C,6 + 45 = 51,SST,Inside our Earth,Medium
CB7-00225,What is 37 + 6?,45,42,44,43,D,37 + 6 = 43,English,Fill in the Blanks,Hard
CB7-00226,What is 5 + 38?,42,43,44,45,B,5 + 38 = 43,SST,Mughal Empire,Hard
CB7-00227,What is 45 + 47?,91,92,93,94,B,45 + 47 = 92,SST,Government,Easy
CB7-00228,What is 46 + 14?,60,61,59,62,A,46 + 14 = 60,Science,Motion and Time,Medium
CB7-00229,What is 45 + 14?,58,60,61,59,D,45 + 14 = 59,Science,Motion and Time,Easy
CB7-00230,What is 2 + 49?,52,53,51,50,C,2 + 49 = 51,Science,Electric Current,Easy
CB7-00231,What is 22 + 19?,43,40,42,41,D,22 + 19 = 41,Science,Nutrition in Plants,Hard
CB7-00232,What is 6 + 19?,25,24,26,27,A,6 + 19 = 25,Science,Acids Bases and Salts,Hard
CB7-00233,What is 23 + 6?,31,28,29,30,C,23 + 6 = 29,Science,Light,Hard
CB7-00234,What is 11 + 3?,16,13,15,14,D,11 + 3 = 14,English,Comprehension,Hard
CB7-00235,What is 32 + 21?,54,55,53,52,C,32 + 21 = 53,English,Sentence Correction,Hard
CB7-00236,What is 16 + 2?,20,19,18,17,C,16 + 2 = 18,SST,Mughal Empire,Easy
CB7-00237,What is 41 + 21?,61,64,62,63,C,41 + 21 = 62,Science,Acids Bases and Salts,Easy
CB7-00238,What is 2 + 31?,32,34,33,35,C,2 + 31 = 33,Science,Light,Medium
CB7-00239,What is 14 + 48?,62,61,63,64,A,14 + 48 = 62,English,Fill in the Blanks,Hard
CB7-00240,What is 49 + 39?,88,87,89,90,A,49 + 39 = 88,SST,Media,Easy
CB7-00241,What is 8 + 38?,45,46,48,47,B,8 + 38 = 46,Maths,Perimeter and Area,Medium
CB7-00242,What is 14 + 42?,55,57,56,58,C,14 + 42 = 56,Maths,Fractions and Decimals,Easy
CB7-00243,What is 45 + 23?,69,70,67,68,D,45 + 23 = 68,Science,Acids Bases and Salts,Medium
CB7-00244,What is 47 + 44?,93,92,90,91,D,47 + 44 = 91,Science,Motion and Time,Hard
CB7-00245,What is 18 + 34?,51,53,52,54,C,18 + 34 = 52,Science,Nutrition in Plants,Medium
CB7-00246,What is 20 + 11?,33,32,30,31,D,20 + 11 = 31,Maths,Perimeter and Area,Hard
CB7-00247,What is 23 + 25?,50,48,49,47,B,23 + 25 = 48,Science,Heat,Easy
CB7-00248,What is 16 + 30?,45,48,46,47,C,16 + 30 = 46,Maths,Comparing Quantities,Hard
CB7-00249,What is 13 + 23?,35,37,36,38,C,13 + 23 = 36,English,Comprehension,Easy
CB7-00250,What is 40 + 27?,67,69,66,68,A,40 + 27 = 67,Maths,Comparing Quantities,Hard
CB7-00251,What is 16 + 50?,67,65,68,66,D,16 + 50 = 66,Maths,Fractions and Decimals,Medium
CB7-00252,What is 28 + 29?,56,58,59,57,D,28 + 29 = 57,Science,Transportation in Plants and Animals,Easy
CB7-00253,What is 27 + 26?,55,54,53,52,C,27 + 26 = 53,Science,Light,Hard
CB7-00254,What is 36 + 28?,64,63,66,65,A,36 + 28 = 64,Science,Soil,Hard
CB7-00255,What is 30 + 19?,48,49,51,50,B,30 + 19 = 49,Maths,Rational Numbers,Medium
CB7-00256,What is 44 + 9?,53,54,52,55,A,44 + 9 = 53,SST,Medieval India,Medium
CB7-00257,What is 40 + 14?,53,54,56,55,B,40 + 14 = 54,English,Comprehension,Hard
CB7-00258,What is 16 + 5?,21,20,23,22,A,16 + 5 = 21,Maths,Perimeter and Area,Medium
CB7-00259,What is 50 + 39?,91,90,88,89,D,50 + 39 = 89,SST,State Government,Hard
CB7-00260,What is 4 + 34?,39,37,40,38,D,4 + 34 = 38,English,Sentence Correction,Hard
CB7-00261,What is 38 + 50?,89,90,87,88,D,38 + 50 = 88,Science,Physical and Chemical Changes,Easy
CB7-00262,What is 8 + 6?,16,15,14,13,C,8 + 6 = 14,SST,Government,Hard
CB7-00263,What is 11 + 45?,58,55,56,57,C,11 + 45 = 56,SST,State Government,Hard
CB7-00264,What is 44 + 28?,74,73,71,72,D,44 + 28 = 72,SST,Media,Easy
CB7-00265,What is 32 + 46?,77,79,80,78,D,32 + 46 = 78,Maths,Triangle and Properties,Easy
CB7-00266,What is 4 + 17?,22,20,23,21,D,4 + 17 = 21,Maths,Rational Numbers,Medium
CB7-00267,What is 31 + 25?,57,55,58,56,D,31 + 25 = 56,English,Grammar,Easy
CB7-00268,What is 12 + 13?,25,27,26,24,A,12 + 13 = 25,SST,Markets,Medium
CB7-00269,What is 3 + 2?,6,4,5,7,C,3 + 2 = 5,SST,Equality,Medium
CB7-00270,What is 8 + 24?,33,31,32,34,C,8 + 24 = 32,Maths,Perimeter and Area,Hard
CB7-00271,What is 11 + 46?,59,58,56,57,D,11 + 46 = 57,Science,Motion and Time,Easy
CB7-00272,What is 47 + 41?,89,90,88,87,C,47 + 41 = 88,SST,Inside our Earth,Hard
